,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
226,227,2352,中信公園,16,1,桃園區,20240715205139,24.990791,121.286262,德華街92號對面路側,Taoyuan Dist.,Zhong Xin Park,"No.92, Dehua St.(opposite)",15,1
227,228,2353,桃園建國國小,10,1,桃園區,20240715205118,24.983616,121.31578,昆明路120號對面人行道,Taoyuan Dist.,Taoyuan Jian-Guo Elementary School,"No.120, Kunming Rd.(opposite)",8,1
228,229,2355,桃園市立田徑場,14,3,龜山區,20240715205141,24.99277,121.32457,萬壽路二段1379號對面人行道,Guishan Dist.,Taoyuan Municipal Stadium,"No.1379, Sec. 2, Wanshou Rd.(opposite)",10,1
229,230,2356,忠孝黃昏市場,6,0,中壢區,20240715205145,24.982262,121.25297,吉利七街65號旁綠地,Zhongli Dist.,Zhongxiao Dusk Market,"No.65, Jili 7th St.",6,1
230,231,2357,廣明停車場,16,8,中壢區,20240715205116,24.954579,121.214063,廣明路78號旁停車場,Zhongli Dist.,Guangming Parking Lot,"No.78, Guangming Rd.",8,1
231,232,2358,高鐵北青昇二街口,8,3,中壢區,20240715205125,25.018035,121.220334,高鐵北路二段96號旁公園,Zhongli Dist.,Gaotie N. Rd. &amp; Qingsheng 2nd St. Intersection,"No.96, Sec. 2, Gaotie N. Rd.",5,1
232,233,2360,下埔子溪綠地(天祥七街),10,3,桃園區,20240715205145,25.023509,121.300758,天祥七街72號旁公園,Taoyuan Dist.,Green space of Xiapuzi river(Tiansiang 7th St.),"No.72, Tiansiang 7th St.",6,1
233,234,2361,遠雄自貿港區加值園區,20,8,大園區,20240715205136,25.093612,121.255208,航翔路5號前方廣場,Dayuan Dist.,Farglory Free Trade Zone Value-Added Park,"No.5, Hangsiang Rd.",11,1
234,235,2362,仁愛兒童公園,12,11,桃園區,20240715205118,24.985429,121.291219,宏昌九街17號對面公園,Taoyuan Dist.,Renai Children's Park,"No.17, Hongchang 9th St.(opposite)",1,1
235,236,2363,竹風青庭,6,1,中壢區,20240715205133,25.006039,121.20138,領航北路一段296號前方人行道,Zhongli Dist.,TrueFull QingTing,"No.296, Sec. 1, Linghang N. Rd.",5,1
236,237,2365,青埔公10公園,22,1,中壢區,20240715205133,25.014404,121.20756,青溪段233地號上人行道,Zhongli Dist.,Qingpu Public 10th  Park,No.233 of Cingsi Section,20,1
237,238,2366,昭揚建築(水秀公園),8,4,桃園區,20240715205132,24.99845,121.291143,力行路688巷11號旁公園,Taoyuan Dist.,Sound Rise Construction (Shueisiou Park),"No.11, Ln. 688, Lising Rd.",3,1
238,239,2368,玖都機構,14,2,中壢區,20240715205129,25.004995,121.208652,公園路一段文發路口(土地公廟前),Zhongli Dist.,Jiudu Institution,"Sec. 1, Gongyuan Rd. &amp; Wenfa Rd. Intersection",12,1
